,Country_of_Origin,Farm_Name,Mill,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Owner,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Total_Cup_Points,Moisture_Percentage,Category_One_Defects,Quakers,Color,Category_Two_Defects
0,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,300,60.0,METAD Agricultural Development plc,metad plc,Other,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,green,0
1,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,300,60.0,METAD Agricultural Development plc,metad plc,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,green,1
2,Guatemala,"san marcos barrancas ""san cristobal cuch",Other,Other,Other,Other,5,1.0,Specialty Coffee Association,Grounds for Health Admin,Bourbon,Other,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.11,0,0.0,other,0
3,Ethiopia,yidnekachew dabessa coffee plantation,wolensu,yidnekachew debessa coffee plantation,oromia,Yidnekachew Dabessa Coffee Plantation,320,60.0,METAD Agricultural Development plc,Yidnekachew Dabessa,Other,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,green,2
4,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,300,60.0,METAD Agricultural Development plc,metad plc,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,green,2
5,Brazil,Other,Other,Other,Other,Other,100,30.0,Specialty Coffee Institute of Asia,Ji-Ae Ahn,Other,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0,0.0,blue-green,1
6,Peru,Other,hvc,richmond investment-coffee department,Other,HVC,100,69.0,Specialty Coffee Institute of Asia,Hugo Valdivia,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,blue-green,0
7,Ethiopia,aolme,c.p.w.e,Other,oromia,Bazen Agricultural & Industrial Dev't Plc,300,60.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.11,0,0.0,other,0
8,Ethiopia,aolme,c.p.w.e,Other,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.11,0,0.0,other,0
9,Ethiopia,tulla coffee farm,tulla coffee farm,diamond enterprise plc,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,50,60.0,METAD Agricultural Development plc,Diamond Enterprise Plc,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,green,4
10,Ethiopia,fahem coffee plantation,Other,fahem coffee plantation,oromia,Fahem Coffee Plantation,300,60.0,METAD Agricultural Development plc,Mohammed Lalo,Other,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,other,1
11,Other,el filo,Other,coffee quality institute,antioquia,Alfredo De Jesús López Pérez,10,1.0,Almacafé,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0.11,0,0.0,other,0
12,Other,los cedros,Other,coffee quality institute,antioquia,Jorge Walter Restrepo,10,1.0,Almacafé,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0.11,0,0.0,other,0
13,United States (Hawaii),arianna farms,Other,Other,kona,"Robert, Sharon, Arianna Wood",1,1.0,Specialty Coffee Association,Grounds for Health Admin,Other,Other,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.11,0,0.0,other,2
14,Ethiopia,aolme,c.p.w.e,Other,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.11,0,0.0,other,2
15,Other,el águila,Other,coffee quality institute,antioquia,María Leticia Diosa,10,1.0,Almacafé,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0.11,0,0.0,other,0
16,Indonesia,toarco jaya,Other,Other,sulawesi,P.T. Toarco Jaya,1,2.0,Specialty Coffee Association,Grounds for Health Admin,Other,Other,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.11,0,0.0,other,0
17,Ethiopia,Other,Other,Other,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,150,6.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.11,0,0.0,other,2
18,China,echo coffee,echo coffee mill,yunnan coffee exchange,yunnan,Echo Coffee,3,60.0,Yunnan Coffee Exchange,Yunnan Coffee Exchange,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0.0,green,0
19,Ethiopia,drima zede,drima zede,essence coffee,gedio,LevelUp,250,60.0,Blossom Valley International,EssenceCoffee,Other,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.11,0,0.0,other,8
20,Other,el rodeo,Other,coffee quality institute,antioquia,Nicolás Rueda Urrego,10,1.0,Almacafé,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0.11,0,0.0,other,0
21,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,san ramon,SEVERAL,250,1.360776,Specialty Coffee Association,The Coffee Source Inc.,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,green,2
22,Mexico,la herradura,la herradura,Other,xalapa,ROBERTO LICONA FRANCO,14,1.0,AMECAFE,ROBERTO LICONA FRANCO,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,green,0
23,Other,la curva,Other,coffee quality institute,antioquia,Silvia Elena Higuita,10,1.0,Almacafé,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0.11,0,0.0,other,0
24,Ethiopia,Other,Other,Other,sidamo,Other,100,60.0,Specialty Coffee Institute of Asia,Ji-Ae Ahn,Other,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0.0,blue-green,1
25,Brazil,fazenda kaquend,Other,nucoffee,south of minas,Ralph Junqueira,3,60.0,NUCOFFEE,NUCOFFEE,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,green,2
26,Ethiopia,Other,Other,Other,sidamo,Green Gold Ethiopia | Phone: 0114342032,150,6.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.11,0,0.0,other,2
27,Uganda,chebonet (23) women coffee,kabum trading company,kabum trading company,kapchorwa eastern,Kabum trading company,100,60.0,Uganda Coffee Development Authority,Kabum Trading company,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0.0,green,1
28,Honduras,los hicaques,cigrah s.a de c.v.,cigrah s.a de c.v,comayagua,Reinerio Zepeda,275,69.0,Instituto Hondureño del Café,Bismarck Castro,Caturra,Other,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,0,0.0,green,3
29,Taiwan,tsoustructive garden 鄒築園,tsoustructive garden 鄒築園,taiwan coffee laboratory,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",20,50.0,Specialty Coffee Association,"Lin, Che-Hao Krude 林哲豪",Other,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.11,0,0.0,green,0
30,Nicaragua,Other,beneficio atlantic condega,Other,Other,Other,275,6.0,Specialty Coffee Association,Nora Zeas,Other,Other,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,0,0.0,other,2
